Time,Ambient Temperature (degC),Object Temperature (degC),Humidity (RH),Barometer (millibars),Accelerometer-x (g),Accelerometer-y (g),Accelerometer-z (g),Magnetometer-x (uT),Magnetometer-y (uT),Magnetometer-z (uT),Gyroscope-x (deg/sec),Gyroscope-y (deg/sec),Gyroscope-z (deg/sec),Light (lux)
2018-07-10 20:07:37.166523,30.34375,20.84375,21.8505859375,1008.42,-0.4326171875,1.6669921875,1.005859375,-72.1206349206,-0.899633699634,-7.34700854701,-2.50244140625,-3.73077392578,-0.816345214844,0.08
2018-07-10 20:08:39.128807,30.34375,21.03125,21.8505859375,1008.42,-0.453125,1.748046875,0.9091796875,-72.7203907204,-0.449816849817,-6.89719169719,-1.35040283203,-4.53948974609,-1.85394287109,51.3
2018-07-10 20:09:41.299084,30.3125,20.71875,21.8505859375,1008.42,-0.427734375,1.7333984375,0.9306640625,-71.3709401709,-1.49938949939,-5.84761904762,-3.76129150391,-3.10516357422,-3.75366210938,51.54
2018-07-10 20:10:43.401395,30.3125,20.96875,21.8505859375,1008.42,-0.4345703125,1.779296875,0.96240234375,-71.0710622711,-0.299877899878,-7.04713064713,-1.38854980469,-1.40380859375,-2.15148925781,51.86
2018-07-10 20:11:45.503679,30.28125,21.28125,22.1313476562,1008.39,-0.47802734375,1.78515625,1.04443359375,-70.7711843712,-0.299877899878,-6.44737484737,-0.808715820312,-2.52532958984,-2.04467773438,52.1
2018-07-10 20:12:47.737920,30.21875,20.65625,22.1313476562,1008.45,-0.43115234375,1.755859375,1.0546875,-72.1206349206,0.149938949939,-7.04713064713,-2.55584716797,-2.34985351562,-2.06756591797,52.18
2018-07-10 20:13:50.044196,30.21875,20.53125,22.0336914062,1008.44,-0.5126953125,1.80126953125,0.95263671875,-71.9706959707,0.599755799756,-7.19706959707,-0.823974609375,-1.51824951172,-1.25122070312,52.1
2018-07-10 20:14:52.082476,30.21875,20.53125,21.9360351562,1008.51,-0.5576171875,1.78125,0.99072265625,-70.4713064713,0.299877899878,-7.19706959707,-0.953674316406,-0.42724609375,-1.953125,52.1
2018-07-10 20:15:54.180757,30.25,20.71875,21.9360351562,1008.5,-0.4892578125,1.7509765625,0.9697265625,-71.5208791209,-0.299877899878,-5.69768009768,-3.64685058594,-3.54766845703,-2.09808349609,52.18
2018-07-10 20:16:56.287039,30.25,20.59375,21.8383789062,1008.48,-0.46484375,1.7412109375,0.87451171875,-71.5208791209,0.749694749695,-5.3978021978,-2.73132324219,-4.41741943359,-3.39508056641,52.18
2018-07-10 20:17:58.453341,30.25,20.71875,21.8383789062,1008.48,-0.50732421875,1.71337890625,0.90283203125,-73.1702075702,0.449816849817,-6.44737484737,-1.18255615234,-2.28881835938,-1.99890136719,52.18
2018-07-10 20:19:00.619598,30.25,20.625,21.8383789062,1008.5,-0.443359375,1.74560546875,0.9833984375,-70.4713064713,-0.899633699634,-5.3978021978,-2.25830078125,-4.06646728516,-1.27410888672,52.18
2018-07-10 20:20:02.657908,30.25,20.65625,21.8383789062,1008.45,-0.46337890625,1.7236328125,1.0703125,-72.5704517705,-0.599755799756,-5.99755799756,-0.396728515625,-4.150390625,-2.35748291016,52.18
2018-07-10 20:21:04.892216,30.28125,20.8125,22.0336914062,1008.45,-0.4619140625,1.74755859375,1.009765625,-71.5208791209,0.149938949939,-5.54774114774,-0.656127929688,-4.07409667969,-2.50244140625,52.18
2018-07-10 20:22:07.062431,30.3125,20.75,22.1435546875,1008.49,-0.474609375,1.77734375,0.92138671875,-72.8703296703,-0.599755799756,-5.99755799756,-2.41088867188,-3.99017333984,-2.94494628906,52.18
2018-07-10 20:23:09.296706,30.34375,20.75,21.9482421875,1008.5,-0.55419921875,1.71484375,0.92578125,-71.6708180708,0.299877899878,-6.1474969475,-3.2958984375,-4.12750244141,-2.73895263672,52.18
2018-07-10 20:24:11.802976,30.34375,20.53125,21.8505859375,1008.48,-0.46826171875,1.74365234375,0.94580078125,-71.6708180708,0.599755799756,-6.59731379731,-1.10626220703,-4.95910644531,-2.60925292969,52.18
2018-07-10 20:25:14.309244,30.34375,20.59375,21.8505859375,1008.49,-0.359375,1.69091796875,0.95068359375,-71.9706959707,0.599755799756,-7.19706959707,-1.99127197266,-4.65393066406,-2.28118896484,52.18
2018-07-10 20:26:16.415555,30.3125,20.75,21.8505859375,1008.52,-0.42626953125,1.7158203125,0.93310546875,-70.4713064713,-0.899633699634,-6.74725274725,-2.17437744141,-4.07409667969,-0.679016113281,52.18
2018-07-10 20:27:18.589803,30.34375,20.875,21.8505859375,1008.56,-0.51513671875,1.74755859375,0.896484375,-70.7711843712,0.449816849817,-7.34700854701,-3.76892089844,-4.31060791016,-1.51062011719,52.18
2018-07-10 20:28:20.752079,30.3125,20.625,21.7529296875,1008.64,-0.47802734375,1.7685546875,0.93701171875,-73.62002442,-0.299877899878,-5.99755799756,-0.541687011719,-0.778198242188,-0.663757324219,52.18
2018-07-10 20:29:22.990386,30.3125,20.65625,21.7529296875,1008.7,-0.47021484375,1.74755859375,0.96044921875,-70.6212454212,0.599755799756,-5.84761904762,-1.22833251953,-4.85992431641,-3.23486328125,52.18
2018-07-10 20:30:25.088635,30.3125,20.84375,21.7529296875,1008.71,-0.44482421875,1.77734375,0.92724609375,-71.3709401709,1.04957264957,-6.59731379731,-4.150390625,-4.07409667969,-2.64739990234,52.18
